Name                                                 Stmts   Miss  Cover
------------------------------------------------------------------------
src/abstract_layout_engine.py                          290    290     0%
src/alu_coordinate_system.py                            70     70     0%
src/alu_svg_renderer.py                                 36     36     0%
src/area_aware_astar.py                                168    168     0%
src/area_aware_pathfinder.py                            47     32    32%
src/area_spatial_constraint_system.py                   78     58    26%
src/arisbe_home.py                                     290    290     0%
src/authoritative_layout_coordinator.py                179    179     0%
src/balanced_position_optimizer.py                     153    153     0%
src/bottom_up_d3_engine.py                             207    207     0%
src/cgif_generator_dau.py                              305    282     8%
src/cgif_parser_dau.py                                 369    310    16%
src/chapter17_soundness_evaluation.py                  208    162    22%
src/chapter18_enhanced_translation.py                  243    221     9%
src/chapter18_final_translation.py                     211    176    17%
src/chapter18_fopl_translation.py                      445    358    20%
src/chapter18_improved_translation.py                  182    182     0%
src/chapter18_refined_translation.py                   224    224     0%
src/chapter20_syntactic_equivalence_fixes.py           179    152    15%
src/chapter21_diagram_engine.py                        587    478    19%
src/chapter21_gui_integration.py                       293    293     0%
src/chapter21_transformation_sequences.py              441    370    16%
src/chapter21_transformation_wizards.py                797    645    19%
src/chapter_15_compliance_test_suite.py                230    230     0%
src/clif_generator_dau.py                              213    193     9%
src/clif_parser_dau.py                                 256    204    20%
src/coherence_registry.py                              231    231     0%
src/collision_free_positioning.py                       85     85     0%
src/constrained_force_layout.py                        219    189    14%
src/containment_hierarchy_engine.py                    152    107    30%
src/core_dau_formalism.py                              293    236    19%
src/corpus_index.py                                     91     59    35%
src/cut_area_correspondence.py                         165    165     0%
src/cut_layout_engine.py                               187    187     0%
src/d3_layout_engine.py                                 65     54    17%
src/dau_chapters_integration.py                        363    298    18%
src/dau_diagram_correspondence.py                      205    205     0%
src/dau_formalism_validator.py                          78     78     0%
src/dau_semantic_evaluation_engine.py                  178    128    28%
src/dau_semantic_evaluation_tests.py                   164    164     0%
src/definitive_egi_layout_engine.py                   1281   1144    11%
src/definitive_three_pass_engine.py                    594    594     0%
src/definitive_three_pass_engine_backup.py             592    592     0%
src/diagram_controller.py                              664    551    17%
src/diagram_coordinator.py                             197    197     0%
src/drawing_to_egi_adapter.py                          165    165     0%
src/dynamic_transformation_tracker.py                  274    274     0%
src/efficient_historical_storage.py                    260    260     0%
src/egi_core_dau.py                                    571    396    31%
src/egi_dto.py                                         135    135     0%
src/egi_graph_operations.py                            173    173     0%
src/egi_io.py                                           30     21    30%
src/egi_layout_engine.py                               367    367     0%
src/egi_loader.py                                       50     39    22%
src/egi_logical_areas.py                               118    118     0%
src/egi_spatial_correspondence.py                        0      0   100%
src/egi_system.py                                      357    258    28%
src/egi_transformation_history.py                      187     99    47%
src/egi_transformation_pipeline.py                     212    212     0%
src/egi_validity_analyzer.py                           283    283     0%
src/egif_generator_dau.py                              276    258     7%
src/egif_parser_dau.py                                 478    413    14%
src/egif_transformation_interface.py                   244    244     0%
src/enhanced_dau_compliance_engine.py                  219    179    18%
src/enhanced_ligature_algorithms.py                    228    193    15%
src/enhanced_transformation_history.py                  45     13    71%
src/entity_storage.py                                  122    122     0%
src/formal_iteration_rule.py                           266    225    15%
src/formal_transformation_rules.py                     500    417    17%
src/graph_entity.py                                    119    119     0%
src/graph_isomorphism_engine.py                        156    123    21%
src/graphviz_layout_engine.py                          264    264     0%
src/graphviz_svg_renderer.py                           100     92     8%
src/graphviz_three_pass_engine.py                      450    450     0%
src/grid_layout_engine.py                               92     92     0%
src/gui/style_manager.py                                87     23    74%
src/gui_clean/__init__.py                                1      1     0%
src/gui_clean/agon/__init__.py                           0      0   100%
src/gui_clean/common/__init__.py                         0      0   100%
src/gui_clean/common/diagram_canvas.py                  45     45     0%
src/gui_clean/common/interactive_diagram_canvas.py     160    160     0%
src/gui_clean/common/qt_diagram_canvas.py              118    118     0%
src/gui_clean/ergasterion/__init__.py                    2      2     0%
src/gui_clean/ergasterion/ergasterion_mode.py          310    310     0%
src/gui_clean/main_application.py                       14     14     0%
src/gui_clean/main_window.py                           127    127     0%
src/gui_clean/organon/__init__.py                        0      0   100%
src/gui_clean/organon/corpus_browser.py                112    112     0%
src/gui_clean/organon/history_timeline.py              128    128     0%
src/gui_clean/organon/metadata_panel.py                218    218     0%
src/gui_clean/organon/organon_mode.py                  230    230     0%
src/hierarchical_area_system.py                        188    188     0%
src/hierarchical_index.py                               88     43    51%
src/history_persistence.py                             208    166    20%
src/integrated_corpus_manager.py                       387    310    20%
src/integrated_export_manager.py                       206    133    35%
src/integrated_view_manager.py                         315    221    30%
src/integration_interfaces.py                           74     28    62%
src/interactive_egif_transformer.py                    522    522     0%
src/interactive_transformer_with_history.py            197    197     0%
src/layout_dto_adapter.py                               51     51     0%
src/layout_engine.py                                   225    173    23%
src/layout_engine_dau_compliant.py                     384    384     0%
src/layout_engine_ironclad.py                          255    199    22%
src/layout_engine_sequential.py                        327    327     0%
src/layout_engine_styled.py                            275    230    16%
src/ligature_aware_positioning_engine.py               159    129    19%
src/ligature_manipulation_rules.py                     362    324    10%
src/ligature_optimization_engine.py                    155    109    30%
src/ligature_position_cooptimizer.py                    37     37     0%
src/ligature_topology.py                               116    116     0%
src/nary_identity_relations.py                         284    284     0%
src/non_closed_subgraph_handler.py                     161    161     0%
src/obstacle_aware_ligature_router.py                   96     72    25%
src/proof_sequence_validator.py                        359    359     0%
src/qt_diagram_renderer.py                             151    151     0%
src/readability_optimizer.py                           284    221    22%
src/roberts_disjunction_fix.py                          58     58     0%
src/rtree_spatial_index.py                             289    210    27%
src/simple_svg_renderer.py                              79     79     0%
src/single_object_ligature_detector.py                 177    148    16%
src/spatial_area_manager.py                            113     92    19%
src/style_loader.py                                    141     80    43%
src/style_specification.py                              69     18    74%
src/svg_renderer.py                                     42     42     0%
src/svg_renderer_dto.py                                 57     57     0%
src/syntactic_equivalence_checker.py                   154    123    20%
src/theta_relation.py                                  193    159    18%
src/three_pass_layout_engine.py                        370    370     0%
src/tulip_layout_engine.py                             141    128     9%
src/two_phase_layout_controller.py                      88     88     0%
src/unified_d3_engine.py                               277    226    18%
src/vertex_splitting_merging_rules.py                  279    246    12%
------------------------------------------------------------------------
TOTAL                                                29191  25978    11%
