field: 12 domains  seats = 66  N0 = 30  (80% of ceiling = 52.8)
calibration: tariff = 0.000241  E0 = 0.048108  (both measured, not chosen)

  arm  seed  survivors   born   died    acts     charge   peak
   A0     1         30      0      0    6501     51.189     30
   A0     2         30      0      0    6693     53.406     30
   A0     3         30      0      0    6574     53.001     30
   A0     4         30      0      0    6469     50.166     30
   A0     5         30      0      0    6770     52.713     30
   A0     7         30      0      0    6654     52.003     30
   A0    42         30      0      0    6689     53.500     30
   A0    99         30      0      0    6482     52.022     30
   A1     1         66    228    192   21034     47.453     66
   A1     2         66    228    192   21028     49.713     66
   A1     3         66    210    174   20958     49.552     66
   A1     4         66    212    176   20554     49.006     66
   A1     5         66    226    190   21257     48.243     66
   A1     7         66    224    188   20783     48.631     66
   A1    42         66    231    195   21477     47.414     66
   A1    99         66    229    193   20945     46.104     66
  A2a     1         66    143    107       0     56.691     66
  A2a     2         66    161    125       0     55.152     66
  A2a     3         66    155    119       0     55.316     66
  A2a     4         66    158    122       0     56.165     66
  A2a     5         66    141    105       0     55.917     66
  A2a     7         66    153    117       0     56.508     66
  A2a    42         66    159    123       0     56.137     66
  A2a    99         66    149    113       0     55.705     66
  A2b     1         66    156    120   19856     57.660     66
  A2b     2         66    170    134   20321     57.012     66
  A2b     3         66    163    127   19964     58.148     66
  A2b     4         66    166    130   20043     57.746     66
  A2b     5         65    141    106   18374     57.707     66
  A2b     7         66    165    129   20182     58.308     66
  A2b    42         64    171    137   20607     57.409     66
  A2b    99         64    157    123   19706     58.156     66

escalation check: highest population 66 vs 80% of 66 = 52.8 -> FIRES: re-measure at a wider field
